i;j;s;value
arg;CGDS;afr;0.957011146666845
arg;CGDS;asia;0.8599036057248945
arg;CGDS;cis;1.0231669409190844
arg;CGDS;eur;0.6314842726457826
arg;CGDS;noa;0.9825414612364816
arg;CGDS;oce;1.0760180437876683
arg;CGDS;row;0.5999290761897659
arg;CGDS;rus;0.2968308171995861
arg;CGDS;soa;1.1141582029610404
arg;Unnamed: 6;afr;0.0
arg;Unnamed: 6;asia;0.0
arg;Unnamed: 6;cis;0.0
arg;Unnamed: 6;eur;0.0
arg;Unnamed: 6;noa;0.0
arg;Unnamed: 6;oce;0.0
arg;Unnamed: 6;row;0.0
arg;Unnamed: 6;rus;0.0
arg;Unnamed: 6;soa;0.0
arg;arg;afr;0.9459344186268629
arg;arg;asia;0.8664409728636492
arg;arg;cis;1.0401402021095119
arg;arg;eur;0.7632955820377926
arg;arg;noa;0.9817501798069161
arg;arg;oce;1.4629774117391692
arg;arg;row;0.6878314306464157
arg;arg;rus;0.7335531091405896
arg;arg;soa;1.1631754141438153
arg;eng;afr;0.9790428633952891
arg;eng;asia;0.8188458095372426
arg;eng;cis;1.0261143255842986
arg;eng;eur;0.7995285971817008
arg;eng;noa;0.9611746310494299
arg;eng;oce;1.0777929943675815
arg;eng;row;0.36478862299548254
arg;eng;rus;0.9783455694744551
arg;eng;soa;1.0699795858743726
arg;its;afr;0.9313468162156382
arg;its;asia;0.8066913817691047
arg;its;cis;1.0471486950978544
arg;its;eur;0.5073111020004876
arg;its;noa;0.9277108656527965
arg;its;oce;1.6905722721332872
arg;its;row;0.4134265602216877
arg;its;rus;0.7993625408095225
arg;its;soa;1.2224951165238
arg;man;afr;0.865267121376215
arg;man;asia;0.7792715121041499
arg;man;cis;1.0514244548040281
arg;man;eur;0.5938513641302492
arg;man;noa;0.9721069966625926
arg;man;oce;1.3889697237694087
arg;man;row;0.5753830672050929
arg;man;rus;0.8090174446910862
arg;man;soa;1.1630655649854824
eng;CGDS;afr;3.71425592585057
eng;CGDS;asia;0.5205116231343914
eng;CGDS;cis;1.0179465311667208
eng;CGDS;eur;0.952396791854228
eng;CGDS;noa;0.9676360660847294
eng;CGDS;oce;1.0760142929150165
eng;CGDS;row;8254.390308973641
eng;CGDS;rus;1.099878343443592
eng;CGDS;soa;5.498017358765566
eng;Unnamed: 6;afr;0.0
eng;Unnamed: 6;asia;0.0
eng;Unnamed: 6;cis;0.0
eng;Unnamed: 6;eur;0.0
eng;Unnamed: 6;noa;0.0
eng;Unnamed: 6;oce;0.0
eng;Unnamed: 6;row;0.0
eng;Unnamed: 6;rus;0.0
eng;Unnamed: 6;soa;0.0
eng;arg;afr;2.5148028517583656
eng;arg;asia;0.9739848354853489
eng;arg;cis;1.272972865425636
eng;arg;eur;0.6276408215725592
eng;arg;noa;0.9432472087735718
eng;arg;oce;1.4820495518165229
eng;arg;row;5.550680717326213
eng;arg;rus;2.613395821736743
eng;arg;soa;1.0911687627449824
eng;eng;afr;6.821234887413162
