i;j;s;value
arg;CGDS;afr;0.043338222733729725
arg;CGDS;asia;0.392485473201582
arg;CGDS;cis;0.00888671510851937
arg;CGDS;eur;0.4095849650332463
arg;CGDS;noa;0.046332414554791396
arg;CGDS;oce;0.0003466363337056355
arg;CGDS;row;2.037021959010198
arg;CGDS;rus;0.7405628216710652
arg;CGDS;soa;0.005106014901806295
arg;Unnamed: 6;afr;0.0
arg;Unnamed: 6;asia;0.0
arg;Unnamed: 6;cis;0.0
arg;Unnamed: 6;eur;0.0
arg;Unnamed: 6;noa;0.0
arg;Unnamed: 6;oce;0.0
arg;Unnamed: 6;row;0.0
arg;Unnamed: 6;rus;0.0
arg;Unnamed: 6;soa;0.0
arg;arg;afr;0.05446188801013917
arg;arg;asia;0.36103050458129493
arg;arg;cis;0.018397895691924293
arg;arg;eur;0.2601086238373964
arg;arg;noa;0.049342616195463825
arg;arg;oce;0.0029483022068673656
arg;arg;row;1.6663446706458964
arg;arg;rus;0.2941432344946775
arg;arg;soa;0.008558371700257854
arg;eng;afr;0.02102564724241869
arg;eng;asia;0.5143564224112707
arg;eng;cis;0.009644050426776435
arg;eng;eur;0.22202129791005062
arg;eng;noa;0.08684555407157851
arg;eng;oce;0.00035710872923860415
arg;eng;row;2.796946129240398
arg;eng;rus;0.02417827328762639
arg;eng;soa;0.003266315839206897
arg;its;afr;0.06917594024159149
arg;its;asia;0.5277285123588578
arg;its;cis;0.020077023540324028
arg;its;eur;0.5357993398209878
arg;its;noa;0.13677342069139029
arg;its;oce;0.005113281816551852
arg;its;row;2.642251684141771
arg;its;rus;0.2181153495297723
arg;its;soa;0.012884773227684745
arg;man;afr;0.13599468780112967
arg;man;asia;0.6150520938267887
arg;man;cis;0.023146289432827656
arg;man;eur;0.4461007906928199
arg;man;noa;0.06545615007447927
arg;man;oce;0.0023183434668744567
arg;man;row;2.132733977013021
arg;man;rus;0.21121975192848688
arg;man;soa;0.008111923799541863
eng;CGDS;afr;0.0001554524726832293
eng;CGDS;asia;44.44873718090096
eng;CGDS;cis;0.00018926737057059178
eng;CGDS;eur;1.5853452493627427
eng;CGDS;noa;0.06324637014490908
eng;CGDS;oce;1.5560551688849745e-05
eng;CGDS;row;0.0030763333583773435
eng;CGDS;rus;3.577868317417313e-11
eng;CGDS;soa;0.02096269897873387
eng;Unnamed: 6;afr;0.0
eng;Unnamed: 6;asia;0.0
eng;Unnamed: 6;cis;0.0
eng;Unnamed: 6;eur;0.0
eng;Unnamed: 6;noa;0.0
eng;Unnamed: 6;oce;0.0
eng;Unnamed: 6;row;0.0
eng;Unnamed: 6;rus;0.0
eng;Unnamed: 6;soa;0.0
eng;arg;afr;5.733395752460375e-05
eng;arg;asia;3.647956499857188
eng;arg;cis;0.0028783778570142327
eng;arg;eur;8.022990354733045
eng;arg;noa;0.10503707297544403
eng;arg;oce;0.0001253235152027884
eng;arg;row;1.6205947328919135e-07
eng;arg;rus;8.867341515461746e-10
eng;arg;soa;6.367369815571308e-05
eng;eng;afr;0.00041474175201575484
eng;eng;asia;41.52450661623126
eng;eng;cis;0.04234826812825978
eng;eng;eur;10.025336543649807
eng;eng;noa;0.47060951466880907
eng;eng;oce;5.306692945989847e-05
eng;eng;row;0.00013290628745563258
eng;eng;rus;1.858142914572741e-09
eng;eng;soa;0.011508060081574336
eng;its;afr;0.00011099940341186164
eng;its;asia;13.301367127081722
eng;its;cis;0.00875925150925425
eng;its;eur;10.66328618548118
eng;its;noa;0.1133867663060451
eng;its;oce;0.00016701398331606684
eng;its;row;3.755989132745676e-08
eng;its;rus;2.2069722296838264e-09
eng;its;soa;0.0002290273886079461
eng;man;afr;0.005166616729667364
eng;man;asia;37.368532392848664
eng;man;cis;0.034997588236242286
eng;man;eur;6.633195172345261
eng;man;noa;0.8928959656695099
eng;man;oce;0.011970598824264942
eng;man;row;6.3947543392417015e-06
eng;man;rus;4.166968929069795e-09
eng;man;soa;0.0037470017423726076
its;CGDS;afr;0.08407051085114631
its;CGDS;asia;0.038095731552400126
its;CGDS;cis;0.058453446296664775
its;CGDS;eur;0.07274635499408644
its;CGDS;noa;0.0155056266707819
its;CGDS;oce;0.017082165937588996
its;CGDS;row;0.11832530178063436
its;CGDS;rus;0.14743242073960272
its;CGDS;soa;0.027211024279039545
its;Unnamed: 6;afr;0.0
its;Unnamed: 6;asia;0.0
its;Unnamed: 6;cis;0.0
its;Unnamed: 6;eur;0.0
its;Unnamed: 6;noa;0.0
its;Unnamed: 6;oce;0.0
its;Unnamed: 6;row;0.0
its;Unnamed: 6;rus;0.0
its;Unnamed: 6;soa;0.0
its;arg;afr;0.08416831270465461
its;arg;asia;0.03494337137636475
its;arg;cis;0.09814612270725304
its;arg;eur;0.07806940124765717
its;arg;noa;0.01406361015285212
its;arg;oce;0.028503828945984497
its;arg;row;0.11102502388216881
its;arg;rus;0.09030415181864014
its;arg;soa;0.031626832316893075
its;eng;afr;0.1397575031687518
its;eng;asia;0.04779539665676859
its;eng;cis;0.12048068901722583
its;eng;eur;0.1113996816465422
its;eng;noa;0.037456600148101024
its;eng;oce;0.059987661369651106
its;eng;row;0.2223026528373661
its;eng;rus;0.093121601406742
its;eng;soa;0.20002232539720452
its;its;afr;0.15062671697265564
its;its;asia;0.07437007005733849
its;its;cis;0.17114977892296376
its;its;eur;0.12083892399057977
its;its;noa;0.03787335251792086
its;its;oce;0.04607852234212562
its;its;row;0.18705754810156106
its;its;rus;0.13885841212330774
its;its;soa;0.10118800265370814
its;man;afr;0.10551675529271408
its;man;asia;0.05417663047835556
its;man;cis;0.10936133758366458
its;man;eur;0.1265553002969452
its;man;noa;0.026971379364214537
its;man;oce;0.025117407558353306
its;man;row;0.19865496084179335
its;man;rus;0.12429673902906231
its;man;soa;0.0724304144833938
man;CGDS;afr;1.2227903827456612
man;CGDS;asia;0.08248523444586167
man;CGDS;cis;0.7135071957264734
man;CGDS;eur;0.2102583908028189
man;CGDS;noa;0.29730761374843956
man;CGDS;oce;0.653161994293146
man;CGDS;row;0.5286860531875175
man;CGDS;rus;0.5412674526378602
man;CGDS;soa;0.4341980037738888
man;Unnamed: 6;afr;0.0
man;Unnamed: 6;asia;0.0
man;Unnamed: 6;cis;0.0
man;Unnamed: 6;eur;0.0
man;Unnamed: 6;noa;0.0
man;Unnamed: 6;oce;0.0
man;Unnamed: 6;row;0.0
man;Unnamed: 6;rus;0.0
man;Unnamed: 6;soa;0.0
man;arg;afr;1.613410722431467
man;arg;asia;0.061321858946630274
man;arg;cis;0.9455419811217007
man;arg;eur;0.2877595104554912
man;arg;noa;0.27810622831632653
man;arg;oce;0.9979034551775431
man;arg;row;0.943264686130487
man;arg;rus;0.2755539780332008
man;arg;soa;0.3935882111305786
man;eng;afr;1.5873143295394767
man;eng;asia;0.09687215020303974
man;eng;cis;0.8381866411182507
man;eng;eur;0.3507131839601422
man;eng;noa;0.3890521765687695
man;eng;oce;0.8937973654922635
man;eng;row;1.0939733705571095
man;eng;rus;0.2601497555100878
man;eng;soa;0.5182422880910772
man;its;afr;1.4843858401786545
