i;s;r;value
arg;afr;afr;0.6843357783351897
arg;afr;asia;0.0014010803719194153
arg;afr;cis;0.8229415127290214
arg;afr;eur;0.036744846204007996
arg;afr;noa;0.2904932647025589
arg;afr;oce;197.40268673499136
arg;afr;row;0.00020011934855310441
arg;afr;rus;0.05213624858096058
arg;afr;soa;12.51874945803099
arg;asia;afr;0.17626046533562995
arg;asia;asia;0.007669517944543881
arg;asia;cis;3.3195068554603604
arg;asia;eur;0.024273973386441616
arg;asia;noa;0.8328291905369565
arg;asia;oce;1355.3630171378334
arg;asia;row;0.00024325781624189962
arg;asia;rus;0.06442492241138975
arg;asia;soa;45.24211486565281
arg;cis;afr;0.24666649159368143
arg;cis;asia;0.002021366997707684
arg;cis;cis;6.700422620330693
arg;cis;eur;0.01264350148183407
arg;cis;noa;0.020869324872087848
arg;cis;oce;9.925810983657183
arg;cis;row;0.00020712177299149397
arg;cis;rus;0.04215767955715432
arg;cis;soa;0.49521511285384584
arg;eur;afr;1.2696333969338
arg;eur;asia;0.0013329081085849427
arg;eur;cis;23.499669914369303
arg;eur;eur;0.30404172340829405
arg;eur;noa;0.5421734584773957
arg;eur;oce;451.551794479177
arg;eur;row;0.0007128040461340846
arg;eur;rus;0.2804067641795424
arg;eur;soa;48.487970053455946
arg;noa;afr;0.6531110652549195
arg;noa;asia;0.010845326785363655
arg;noa;cis;0.9328865716837024
arg;noa;eur;0.044222700779598584
arg;noa;noa;5.147076956350102
arg;noa;oce;1092.5399302295152
arg;noa;row;0.00016777899252851922
arg;noa;rus;0.024183018323694596
arg;noa;soa;523.3628493958813
arg;oce;afr;0.13756263308480815
arg;oce;asia;0.003050837184085589
arg;oce;cis;0.36538345921755083
arg;oce;eur;0.005769378176443134
arg;oce;noa;0.11089774980607493
arg;oce;oce;2169.6403630228224
arg;oce;row;0.00018135159337304135
arg;oce;rus;0.01854243882998406
arg;oce;soa;2.1444720514678637
arg;row;afr;0.029691906358657913
arg;row;asia;0.00013131868984179234
arg;row;cis;0.585497933648643
arg;row;eur;0.0051345693895227165
arg;row;noa;0.04394191001446067
arg;row;oce;55.63029118349114
arg;row;row;0.00018374212615813283
arg;row;rus;0.04702573464914512
arg;row;soa;2.1168073781036063
arg;rus;afr;0.32701082223588934
arg;rus;asia;0.001208563055517064
arg;rus;cis;2.9453863717726714
arg;rus;eur;0.008103569626529448
arg;rus;noa;0.051099612606465214
arg;rus;oce;1.688472969899635
arg;rus;row;0.00018364213855944232
arg;rus;rus;0.0
arg;rus;soa;4.903227302701968
arg;soa;afr;0.36208303782312595
arg;soa;asia;0.007038088277690467
arg;soa;cis;1.0800058158822394
arg;soa;eur;0.049308363691510884
arg;soa;noa;1.764123552338891
arg;soa;oce;411.171779841971
arg;soa;row;0.0002522147425920162
arg;soa;rus;0.09512912363415459
arg;soa;soa;580.2728217126986
eng;afr;afr;34031007.836526655
eng;afr;asia;1.2370587440291452e-10
eng;afr;cis;159249.76631327718
eng;afr;eur;1.310423283489996e-08
eng;afr;noa;0.0005709458646044298
eng;afr;oce;597873439.568948
eng;afr;row;2551776749239579.0
eng;afr;rus;23210997.958247636
eng;afr;soa;55565748.14863825
eng;asia;afr;2344599.9140729057
eng;asia;asia;2.0808784925727953e-10
eng;asia;cis;46003.40326057402
eng;asia;eur;9.019063446099808e-10
eng;asia;noa;0.00013703836542476008
eng;asia;oce;1807254744.0330942
eng;asia;row;4287551439813269.5
eng;asia;rus;29603794.518741686
eng;asia;soa;2543940.46005831
eng;cis;afr;1005820.0323863252
eng;cis;asia;3.260534987869765e-11
eng;cis;cis;646071.6050249514
eng;cis;eur;2.1818536223662427e-08
eng;cis;noa;5.9407261197573026e-05
eng;cis;oce;19229852.236884415
eng;cis;row;2.0143946887745548e+16
eng;cis;rus;464606422.4412937
eng;cis;soa;1753029.306141141
eng;eur;afr;3982569.683269667
eng;eur;asia;3.914395339859763e-11
eng;eur;cis;136868.65981980963
eng;eur;eur;1.8565809981793627e-08
eng;eur;noa;0.00010732549315301646
eng;eur;oce;78314331.89150144
eng;eur;row;4788083397415111.0
eng;eur;rus;59791648.024862185
eng;eur;soa;9054837.35157204
eng;noa;afr;2423035.4361730427
eng;noa;asia;4.050237624362942e-11
eng;noa;cis;325370.0846266757
eng;noa;eur;3.4250636794263478e-09
eng;noa;noa;0.0073110631449017464
eng;noa;oce;301201894.3195385
eng;noa;row;335838726283207.25
eng;noa;rus;38727327.870250605
eng;noa;soa;40605536.16258344
eng;oce;afr;221551.84206855862
eng;oce;asia;2.4220609905452525e-10
eng;oce;cis;58750.448959218484
eng;oce;eur;9.578647645999906e-10
eng;oce;noa;4.205237489011859e-05
eng;oce;oce;380324013.1375469
eng;oce;row;3403559661343249.5
eng;oce;rus;1799609.960159945
eng;oce;soa;11909406.384157527
eng;row;afr;20941974.74108047
eng;row;asia;4.954322403360195e-10
eng;row;cis;144222.9715104833
eng;row;eur;7.050853368384272e-09
eng;row;noa;0.0023751063038838587
eng;row;oce;2970175208.4208975
eng;row;row;1.536585453476169e+16
