i;j;s;value
arg;CGDS;afr;1.100319685372817
arg;CGDS;asia;0.9917909258929217
arg;CGDS;cis;1.1422462650609075
arg;CGDS;eur;1.4107508126153474
arg;CGDS;noa;1.3468674823098576
arg;CGDS;oce;1.1486803605779263
arg;CGDS;row;0.9041832430060722
arg;CGDS;rus;1.950386295320762
arg;CGDS;soa;1.326599545600912
arg;arg;afr;1.1272117880389214
arg;arg;asia;0.9920815880991962
arg;arg;cis;1.2823243840515055
arg;arg;eur;1.230631639834215
arg;arg;noa;1.3698493218496297
arg;arg;oce;1.0719859244137007
arg;arg;row;0.9270813648590338
arg;arg;rus;1.2571724615975273
arg;arg;soa;1.4313882207799409
arg;eng;afr;1.0457798424264944
arg;eng;asia;0.9898516073563179
arg;eng;cis;1.156054606117854
arg;eng;eur;1.1854410033117873
arg;eng;noa;1.6073504370159188
arg;eng;oce;1.1520139260761715
arg;eng;row;0.8375426003908462
arg;eng;rus;1.0158728930707268
arg;eng;soa;1.223136538783637
arg;its;afr;1.1646856098797278
arg;its;asia;0.989268346978176
arg;its;cis;1.3128807089129788
arg;its;eur;1.6458174419235
arg;its;noa;1.8139812474636632
arg;its;oce;0.8771288060847557
arg;its;row;0.8517405845127346
arg;its;rus;1.1840403738184542
arg;its;soa;1.477416556726901
arg;man;afr;1.3505500425052954
arg;man;asia;0.9881943509912227
arg;man;cis;1.3544519978195702
arg;man;eur;1.4801926513951824
arg;man;noa;1.4757773887877943
arg;man;oce;1.1517371107026249
arg;man;row;0.897584952032723
arg;man;rus;1.169216714941672
arg;man;soa;1.424720830371964
eng;CGDS;afr;0.7628424688007961
eng;CGDS;asia;0.8752799648655237
eng;CGDS;cis;1.017476927589969
eng;CGDS;eur;0.9953809333558721
eng;CGDS;noa;1.0080423281194906
eng;CGDS;oce;1.0781003687609043
eng;CGDS;row;0.44864312064011935
eng;CGDS;rus;1.0403357957722594
eng;CGDS;soa;0.9288735089818455
eng;arg;afr;1.0106779723498684
eng;arg;asia;0.9945260781844321
eng;arg;cis;1.2537944160622825
eng;arg;eur;0.9584410372228788
eng;arg;noa;1.0147699733961981
eng;arg;oce;1.2028153710836837
eng;arg;row;0.3440869831163223
eng;arg;rus;0.42370930417418023
eng;arg;soa;1.0667982082183043
eng;eng;afr;0.6237288198059813
eng;eng;asia;0.7433100383845676
eng;eng;cis;1.5578949573733067
eng;eng;eur;0.8816227309688401
eng;eng;noa;1.0875164470580738
eng;eng;oce;1.207799283756825
eng;eng;row;0.3184688784853248
eng;eng;rus;0.29623348974249136
eng;eng;soa;1.00401336878535
eng;its;afr;0.8126805850434636
eng;its;asia;0.9705687809436753
eng;its;cis;1.5342143841844822
eng;its;eur;0.93622937260225
eng;its;noa;1.0165837162917817
eng;its;oce;1.124940031634302
eng;its;row;0.5204046308688285
eng;its;rus;0.3097020085185694
eng;its;soa;1.184087700350325
eng;man;afr;0.5671571838789253
eng;man;asia;0.6939286061318692
