i;s;value
arg;afr;4.178724208375426
arg;asia;0.7224666616775699
arg;cis;10.818721954222447
arg;eur;1.1401660531838618
arg;noa;5.103825709499883
arg;oce;12.981824254336892
arg;row;0.690196249866519
arg;rus;3.7879387549940717
arg;soa;14.314842589018578
eng;afr;18.19099788366121
eng;asia;0.1503406130688678
eng;cis;3.8562810138894585
eng;eur;0.3796274891555711
eng;noa;1.0219119193965052
eng;oce;9.707475114540921
eng;row;26.102037832186234
eng;rus;44.841358882406205
eng;soa;9.788350377032586
its;afr;2.2248166235820204
its;asia;3.1651807940450603
its;cis;2.512086087228895
its;eur;2.724681361035431
its;noa;3.3910933656145663
its;oce;3.423456306551721
its;row;2.5578364438837813
its;rus;1.2314331401095517
its;soa;1.766713909843134
man;afr;1.3325890549538086
man;asia;3.4021026145132973
man;cis;1.9880279592666898
man;eur;1.7228140418229025
man;noa;1.5845530782744923
man;oce;1.100473291156333
man;row;1.4309272258876056
man;rus;1.7210136474789954
man;soa;2.719656647840266
