i;s;value
arg;afr;0.0
arg;asia;0.0
arg;cis;0.0010121457489878543
arg;eur;-0.0006558810668998689
arg;noa;0.0019267822736030828
arg;oce;0.0
arg;row;-0.0017482517482517483
arg;rus;0.0
arg;soa;0.003896103896103896
eng;afr;0.0
eng;asia;0.0196078431372549
eng;cis;0.020398009950248756
eng;eur;0.001183431952662722
eng;noa;0.0
eng;oce;0.0
eng;row;0.0
eng;rus;0.0
eng;soa;0.002463054187192153
its;afr;0.0
its;asia;0.0
its;cis;0.0
its;eur;0.0
its;noa;0.0
its;oce;0.0
its;row;0.0
its;rus;0.0
its;soa;0.0
man;afr;0.012782694198623401
man;asia;0.015846467245630963
man;cis;0.01906103982793147
man;eur;0.0009619766087793023
man;noa;0.0025187537644417676
man;oce;-0.0012422360248447205
man;row;0.0016731734523145567
man;rus;0.0
man;soa;0.002220703792278784
