i;s;value
arg;afr;0.7138991639557201
arg;asia;0.721246935037866
arg;cis;0.8943193973777885
arg;eur;1.1401240635862795
arg;noa;0.6881748045035181
arg;oce;0.5397986787051473
arg;row;0.7013098252982208
arg;rus;1.8008049530290402
arg;soa;0.28542643112969335
eng;afr;0.07978714072008883
eng;asia;0.15034061306886812
eng;cis;0.040899152539671996
eng;eur;0.37962723123130315
eng;noa;0.7494648403861474
eng;oce;0.2825534596305561
eng;row;0.09251363071383126
eng;rus;0.38880627081860714
eng;soa;0.04648398411089443
its;afr;3.6339589800187255
its;asia;3.292335148177108
its;cis;3.5797794811597248
its;eur;2.7217214638960474
its;noa;3.038972284282166
its;oce;3.409043231353469
its;row;3.6709007876657034
its;rus;2.7067704477186596
its;soa;3.528728683262457
man;afr;2.298731185699487
man;asia;2.8336967825667077
man;cis;3.1112917875005177
man;eur;1.7228115461076166
man;noa;1.5848183334945731
man;oce;2.587675418336556
man;row;2.4829376337169946
man;rus;2.5752361441851206
man;soa;2.9434316362159136
