i;r;s;value
arg;afr;afr;0.12430849332899446
arg;afr;asia;0.022434360811077584
arg;afr;cis;0.15177919339996102
arg;afr;eur;0.056197801472287326
arg;afr;noa;0.03654682862840078
arg;afr;oce;0.034391270732915355
arg;afr;row;0.036781869367776256
arg;afr;rus;0.2307470720080816
arg;afr;soa;0.04393065110321789
arg;asia;afr;0.30819503199913223
arg;asia;asia;0.623001212668152
arg;asia;cis;0.18497642996204092
arg;asia;eur;0.050612352688739974
arg;asia;noa;0.4221569606435467
arg;asia;oce;0.7177998042981916
arg;asia;row;0.14783482111279303
arg;asia;rus;0.2294645957634877
arg;asia;soa;0.42836016003591565
arg;cis;afr;0.005342228007376071
arg;cis;asia;0.007276008911700838
arg;cis;cis;0.08003032728191735
arg;cis;eur;0.016994025022282377
arg;cis;noa;0.0006915522090906554
arg;cis;oce;0.00029370371712632434
arg;cis;row;0.012307779365371285
arg;cis;rus;0.051792309877829346
arg;cis;soa;0.001941029670024956
arg;eur;afr;0.3550547781755071
arg;eur;asia;0.15054006035139175
arg;eur;cis;0.329545040796905
arg;eur;eur;0.7713795266233123
arg;eur;noa;0.12379714882017472
arg;eur;oce;0.085846047910702
arg;eur;row;0.25662427320440817
arg;eur;rus;0.2559033368058844
arg;eur;soa;0.2119815668202765
arg;noa;afr;0.0671710597678707
arg;noa;asia;0.09427789841789108
arg;noa;cis;0.011779664586544482
arg;noa;eur;0.02535239164163338
arg;noa;noa;0.33859698632091123
arg;noa;oce;0.02937037171263243
arg;noa;row;0.05022139855984835
arg;noa;rus;0.017461407330239608
arg;noa;soa;0.15005347734805172
arg;oce;afr;0.003552446035361753
arg;oce;asia;0.011153726839448376
arg;oce;cis;0.0005989780962491406
arg;oce;eur;0.0018486118905357673
arg;oce;noa;0.004426864477474935
arg;oce;oce;0.0366185868396574
arg;oce;row;0.005107021092987395
arg;oce;rus;0.00012232850333049217
arg;oce;soa;0.0032086408831024783
arg;row;afr;0.09819394728278555
arg;row;asia;0.059942468766744694
arg;row;cis;0.16969856195282565
arg;row;eur;0.04303964612286667
arg;row;noa;0.02249870527781482
arg;row;oce;0.09011192452191981
arg;row;row;0.4024785321204748
arg;row;rus;0.2074651955677621
arg;row;soa;0.042464975638097
arg;rus;afr;0.03153812777958564
arg;rus;asia;0.022307453678896753
arg;rus;cis;0.07053520370609666
arg;rus;eur;0.030198395668966427
arg;rus;noa;0.0040237174497539255
arg;rus;oce;0.0038506142862320156
arg;rus;row;0.08092011260910775
arg;rus;soa;0.030501894814677882
arg;soa;afr;0.006643887623386484
arg;soa;asia;0.009066809554696974
arg;soa;cis;0.0010566002174597475
arg;soa;eur;0.0043772488693757635
arg;soa;noa;0.04726123617283223
arg;soa;oce;0.001717675980623105
arg;soa;row;0.0077241925672330135
arg;soa;rus;0.007043754143384791
arg;soa;soa;0.08755760368663594
eng;afr;afr;0.06755180526950738
eng;afr;asia;0.0027556314629963185
eng;afr;cis;0.006722735192832742
eng;afr;eur;0.012403665902936888
eng;afr;noa;0.006660738409973152
eng;afr;oce;0.0007574031081930051
eng;afr;row;0.01953231061634537
eng;afr;rus;0.0053851204423749945
eng;afr;soa;0.006445580030712303
eng;asia;afr;0.3837155825718342
eng;asia;asia;0.8815437277091661
eng;asia;cis;0.2180887309579669
eng;asia;eur;0.11870443657571339
eng;asia;noa;0.10938916155069514
eng;asia;oce;0.9397952441847333
eng;asia;row;0.7106072947778079
eng;asia;rus;0.2877365025630523
eng;asia;soa;0.4264034292544689
eng;cis;afr;0.0012363946598415016
eng;cis;asia;0.0009759528098111962
eng;cis;cis;0.023986902099597095
eng;cis;eur;0.0028431576754842742
eng;cis;noa;0.0025608358841937855
eng;cis;oce;0.0006735477640716367
eng;cis;row;0.0011426373427459498
eng;cis;rus;0.0981489401432418
eng;cis;soa;0.0015499132105794445
eng;eur;afr;0.43382122599694734
eng;eur;asia;0.04896986745699708
eng;eur;cis;0.5885937592894939
eng;eur;eur;0.8028691939179338
eng;eur;noa;0.12803751902457378
eng;eur;oce;0.036179523471719446
eng;eur;row;0.11155704136120916
eng;eur;rus;0.5863215531313812
eng;eur;soa;0.14652685038762128
eng;noa;afr;0.06073997053981457
eng;noa;asia;0.01884450057767795
eng;noa;cis;0.017675762938978604
eng;noa;eur;0.0189387627577588
eng;noa;noa;0.7213092326897754
eng;noa;oce;0.006397351253130204
eng;noa;row;0.11369807222373066
eng;noa;rus;0.011396697848963635
eng;noa;soa;0.2885926959625047
eng;oce;afr;0.00551212066678664
eng;oce;asia;0.029027419968281534
eng;oce;cis;0.0007362995687388241
eng;oce;eur;0.0011455946677775464
eng;oce;noa;0.0036681088291123007
eng;oce;oce;0.005923974310509577
eng;oce;row;0.012052844148791746
eng;oce;rus;0.0010842524380620794
eng;oce;soa;0.0004684055053374779
eng;row;afr;0.00970786426986063
eng;row;asia;0.012780676134365739
eng;row;cis;0.09384389534484888
eng;row;eur;0.026484065819620914
eng;row;noa;0.002351351813533526
eng;row;oce;0.0024277474628686506
eng;row;row;0.025350144809485022
eng;row;rus;0.008198153156680502
eng;row;soa;0.0145554580107922
eng;rus;afr;0.0009497910459698866
eng;rus;asia;0.00256187612575439
eng;rus;cis;0.045961556930591195
eng;rus;eur;0.004400124973963758
eng;rus;noa;0.003236315132445235
eng;rus;oce;0.0001765019743199771
eng;rus;row;0.00041151914200380124
eng;rus;soa;0.0002322010197399463
eng;soa;afr;0.03676524497943786
eng;soa;asia;0.0025403477549497313
eng;soa;cis;0.004390357676951995
eng;soa;eur;0.012210997708810664
eng;soa;noa;0.022786736665697624
eng;soa;oce;0.007668706470454177
eng;soa;row;0.0056481355778803515
eng;soa;rus;0.0017287802762434266
eng;soa;soa;0.11522546661824379
its;afr;afr;0.027184336707511986
its;afr;asia;0.028717908955593854
its;afr;cis;0.03061971372804164
its;afr;eur;0.02949026486540387
its;afr;noa;0.03737578562098918
its;afr;oce;0.030290959473501904
its;afr;row;0.03182702543959473
its;afr;rus;0.030164211713299034
its;afr;soa;0.03143013815886263
its;asia;afr;0.23921150772509323
its;asia;asia;0.278396308318384
its;asia;cis;0.23727228366948602
its;asia;eur;0.20638928525819145
its;asia;noa;0.265953876623039
its;asia;oce;0.31316245237270524
its;asia;row;0.2595536140376638
its;asia;rus;0.20567575821645875
its;asia;soa;0.2643742727601011
its;cis;afr;0.00908364411294619
its;cis;asia;0.008452663323194836
its;cis;cis;0.007319453480806766
its;cis;eur;0.008313744882268112
its;cis;noa;0.011035325962794376
its;cis;oce;0.009456182888811915
its;cis;row;0.00881024925663522
its;cis;rus;0.010454107642070148
its;cis;soa;0.010926988457783306
its;eur;afr;0.39667021843367073
its;eur;asia;0.3968628224964198
its;eur;cis;0.39691769681197137
its;eur;eur;0.49316071004757794
its;eur;noa;0.44680623108325496
its;eur;oce;0.32417734672670595
its;eur;row;0.3639275356998642
its;eur;rus;0.4958535955082576
its;eur;soa;0.3976380585536787
its;noa;afr;0.19619072988811934
its;noa;asia;0.16939983153413196
its;noa;cis;0.19250162654521796
its;noa;eur;0.14929927673860016
its;noa;noa;0.09801020657361321
its;noa;oce;0.16846207135434707
its;noa;row;0.20546235453911382
its;noa;rus;0.1466394155096671
its;noa;soa;0.1641188192967674
its;oce;afr;0.020058604155567396
its;oce;asia;0.01766072101981765
its;oce;cis;0.019477878985035783
its;oce;eur;0.014248885193113651
its;oce;noa;0.02089212196839712
its;oce;oce;0.04385174922064427
its;oce;row;0.019511031166256746
its;oce;rus;0.013273192848920526
its;oce;soa;0.016250050154475785
its;row;afr;0.05166489078316462
its;row;asia;0.04366484925594242
its;row;cis;0.04574658425504229
its;row;eur;0.033968735840771695
its;row;noa;0.053344236311012164
its;row;oce;0.056061655697956354
its;row;row;0.03793913586138541
its;row;rus;0.058613479925764086
its;row;soa;0.06834383233693109
its;rus;afr;0.024120937666489078
its;rus;asia;0.021138119690652494
its;rus;cis;0.02598405985686402
its;rus;eur;0.02711865790488031
its;rus;noa;0.024506490580426005
its;rus;oce;0.020592310356771736
its;rus;row;0.026421570426929997
its;rus;soa;0.021118377937380466
its;soa;afr;0.0358151305274374
its;soa;asia;0.035706775405862944
its;soa;cis;0.044160702667534156
its;soa;eur;0.03801043926919284
its;soa;noa;0.04207572527647399
its;soa;oce;0.03394527190855559
its;soa;row;0.04654748357255607
its;soa;rus;0.03932623863556276
its;soa;soa;0.02579946234401958
man;afr;afr;0.22947890119854045
man;afr;asia;0.03731982825408329
man;afr;cis;0.03451467200498959
man;afr;eur;0.03508209705556303
man;afr;noa;0.018304612095657695
man;afr;oce;0.02889114129333063
man;afr;row;0.07686827128878818
man;afr;rus;0.02899879910617016
man;afr;soa;0.042653486117512435
man;asia;afr;0.18048971579229994
man;asia;asia;0.45839183024323094
man;asia;cis;0.12673151790115383
man;asia;eur;0.11654734760053738
man;asia;noa;0.18791489336525605
man;asia;oce;0.49380904115142915
man;asia;row;0.4325062998402775
man;asia;rus;0.17456537270778757
man;asia;soa;0.21762845472894582
man;cis;afr;0.00198509637180723
man;cis;asia;0.008469228098529517
man;cis;cis;0.12805939219572063
man;cis;eur;0.011464154867243963
man;cis;noa;0.0024311814427540835
man;cis;oce;0.0022379890533144133
man;cis;row;0.004569756678706686
man;cis;rus;0.1807269207967449
man;cis;soa;0.0020279397975238793
man;eur;afr;0.3658431377727307
man;eur;asia;0.16336159125745361
man;eur;cis;0.351564779140302
man;eur;eur;0.6571115929865167
man;eur;noa;0.16870456634152306
man;eur;oce;0.13273869856071357
man;eur;row;0.18949452359191635
man;eur;rus;0.4561471069606239
man;eur;soa;0.17286438549927688
man;noa;afr;0.08373057268489786
man;noa;asia;0.20644115413013453
man;noa;cis;0.033750138320239015
man;noa;eur;0.09104813391043802
man;noa;noa;0.5009895317695412
man;noa;oce;0.12734644232718426
